State,County,FIPSCodes,Diabetes,LeisureInactivity,Obesity
Idaho,Canyon,13295,9.7,22.4,30.7
Idaho,Caribou,13297,9,25.8,26.8
Idaho,Cassia,13299,10,23.7,29.9
Idaho,Clark,13301,9.3,21.7,33
Idaho,Clearwater,13303,10.9,23.3,33.7
Idaho,Custer,13305,9.2,22.8,26.8
Idaho,Elmore,13307,8.5,25.4,29.4
Idaho,Franklin,13309,8.9,22.2,28
Idaho,Fremont,13311,9,19.8,26.6
Idaho,Gem,13313,9.8,22,29.1
Idaho,Gooding,13315,9.6,23.3,31.9
Idaho,Idaho,13317,10.7,24.6,27.3
Idaho,Jefferson,13319,9.3,21.6,27.9
Idaho,Jerome,13321,9,20.7,31.9
Idaho,Kootenai,15001,9.1,17.5,24.6
Idaho,Latah,15003,6.9,15.8,26.6
Idaho,Lemhi,15005,11,18,23.3
Idaho,Lewis,15007,10.6,21.6,29.9
Idaho,Lincoln,15009,8.1,23.9,29.2
Idaho,Madison,16001,5.5,17.3,25.9
Idaho,Minidoka,16003,11.1,23.9,31.7
Idaho,NezPerce,16005,11.5,22.9,32.3
Idaho,Oneida,16007,11.2,19.9,33.7
Idaho,Owyhee,16009,10.4,26.5,31.4
Idaho,Payette,16011,9.3,23.6,29
Idaho,Power,16013,7.9,20.3,31
Idaho,Shoshone,16015,10.7,26,30.1
Idaho,Teton,16017,6.5,14.6,25.3
Idaho,TwinFalls,16019,8.4,21.5,26
Idaho,Valley,16021,8.4,21.5,23.3
Idaho,Washington,16023,12,25.7,29.9
Illinois,Adams,16025,9.6,24.8,35.1
Illinois,Alexander,16027,12.2,29.1,32.9
Illinois,Bond,16029,10.4,27,27.9
Illinois,Boone,16031,8.7,24.7,30.6
Illinois,Brown,16033,8.8,27.2,30.5
Illinois,Bureau,16035,10.7,31.3,30.8
Illinois,Calhoun,16037,10.3,32.3,30.4
Illinois,Carroll,16039,12.3,25.6,30.7
Illinois,Cass,16041,10,26.3,28.5
Illinois,Champaign,16043,7.7,20.6,27
Illinois,Christian,16045,10.9,30.8,32.7
